Country;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Canada;...;4324,4;8763,2;14084,4;16161,9;15035,7;14889,0;15195,1;14511,4;13516,4;12645,9;12366,1;12622,0;13109,7;12523,1;12665,7;11737,4;11592,8;12325,5;11973,1;11276,2;11298,1;11676,7;11746,1;11665,6;12234,3;13000,3;13199,6;13809,6;14386,7;13928,8;14657,6;14481,8;15741,6;17156,8;18280,8;18821,6;19172,8;19591,5;19899,0;19798,4;19779,8;18267,6;18065,9;18020,5;17758,7;16738,0;15370,6;14164,2;14654,0;15286,6;15036,2;15434,9;15513,2;15798,8;16396,7;17117,9;17913,5;19530,4;21047,4;22008,7;19878,4;20550,2;19541,3;18063,6;18358,3;21092,0;21371,8;25816,4;25697,2;25427,5;26296,5;26131,6;25598,0;27227,7;29065,9
United States of America;175907,1;189049,0;404493,1;569793,1;586649,4;506170,9;479135,9;485404,9;499255,4;496293,6;499769,7;487469,3;508088,3;550543,8;543046,5;524941,3;527240,4;623402,9;715710,0;738695,6;706246,2;654512,9;588882,6;588035,6;558825,1;551528,1;521239,2;507060,3;526196,6;529525,2;532564,3;531335,4;591834,6;699941,1;683520,0;718935,0;770711,6;821654,9;814913,2;797866,0;791125,5;758217,3;669786,5;705819,7;668046,7;633319,1;591579,8;559401,2;556507,3;543941,3;545279,8;566381,0;570981,0;641102,5;729680,6;795293,5;831923,9;843911,7;866430,5;929457,8;1002596,4;1031257,1;1019045,9;962443,2;888413,2;833765,0;814831,4;812331,0;803961,2;828158,3;875217,4;916416,6;906594,3;896121,2;916014,7;968381,6
Australia;...;3111,1;4468,6;5707,2;5744,5;5152,2;5232,3;5070,8;4867,5;4822,7;4850,2;4771,8;4768,2;4969,2;5587,7;6469,9;7472,2;9093,6;10697,6;11497,8;11114,9;10391,8;10098,3;10102,9;9677,7;9544,0;9698,7;9847,2;9899,0;10008,1;10343,1;10876,6;11613,3;12209,4;12630,2;13616,8;14277,7;14359,7;13871,9;13379,7;13267,0;13332,3;13559,8;13955,3;14484,2;14646,2;14187,0;14013,2;14264,6;14962,9;15694,9;15652,0;16271,7;16971,3;17287,4;18000,1;18628,8;19624,2;20829,9;21589,4;23215,8;23485,8;23160,5;22348,8;22154,7;24045,1;26505,1;29024,3;28972,4;28280,6;29047,3;30467,0;32539,9;32764,3;32388,0;33005,8
Japan;...;...;...;6621,5;6878,2;7749,0;8049,9;7523,9;7200,5;7355,1;7344,5;7355,5;7149,8;7319,5;7956,6;8735,5;9374,5;10127,3;10853,4;11580,7;12579,0;13781,6;15196,8;16964,4;17902,2;18344,5;19086,4;19254,4;19820,3;20957,3;22301,6;22658,6;23470,9;24244,1;25443,3;26606,1;28033,6;29267,4;30479,5;32017,4;33403,3;35038,7;35923,8;36463,6;36316,5;36304,1;36905,3;37576,7;37895,0;37938,1;37740,6;37938,5;38602,6;38794,9;38844,0;38688,8;38618,9;38126,7;37631,2;37269,0;37967,2;38103,1;38618,1;38150,0;37992,2;38398,9;39073,6;38841,4;38584,4;40526,7;41679,5;41322,2;44420,9;41782,5;48189,1;58399,3
Korea, South;...;...;...;...;189,2;474,6;526,1;754,0;648,1;765,1;811,8;787,3;820,8;952,3;787,2;744,5;782,2;1412,6;1570,5;1850,3;2133,2;2205,4;2592,1;3032,1;3050,0;3901,2;4502,8;6472,3;7693,2;9582,3;8999,8;9859,2;10215,3;10649,2;11085,0;11365,5;12287,0;13210,5;13570,7;14416,7;15332,1;15893,2;16327,0;17331,0;18129,8;18654,2;20392,4;20679,1;21188,0;20448,1;19899,6;21124,0;21728,1;22326,9;23086,0;24100,2;26065,1;27004,3;28227,5;30074,0;31964,8;32230,4;32672,0;33503,9;34518,8;35876,7;37270,4;38204,3;38907,0;40880,2;44173,5;46497,7;48523,1;47504,8;47801,9;48473,5
Albania;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;348,5;358,2;253,2;193,6;177,2;169,4;157,9;141,8;99,0;93,6;108,4;119,9;136,2;136,0;152,8;167,0;173,0;212,5;263,0;309,9;245,2;263,4;262,0;256,0;241,1;234,3;204,0;196,4;203,8;220,6;248,2;240,6;254,8;267,5;397,6;481,5
Bosnia and Herzegovina;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;437,0;304,2;272,7;227,7;218,9;216,2;224,9;247,4;230,5;203,4;200,9;194,8;189,5;195,2;193,6;186,5;193,4;194,8;195,8;231,8;201,1;197,3;211,1
Bulgaria;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5108,7;4126,6;2234,0;1688,1;1275,8;1092,9;1075,9;882,7;824,2;953,1;1080,7;1114,1;1233,8;1244,9;1266,5;1183,4;1210,8;1198,6;1401,9;1369,6;1092,5;1030,5;856,9;858,1;925,6;865,1;877,0;939,6;974,1;1202,7;2761,3;1382,8;1470,4;1615,4;1989,7;2265,1
Croatia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2278,3;2893,4;3251,7;3458,4;3241,3;3270,0;2521,1;1966,1;1393,2;1290,7;1396,3;1130,0;1026,7;1071,2;1082,8;1114,3;1279,4;1165,7;1080,2;1118,1;1022,0;976,7;1096,0;1091,0;1037,7;1102,4;1076,9;1168,4;1140,7;1486,1;1421,6;1439,1;1565,0
Czechia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3642,7;3762,8;3608,5;3580,0;3385,1;3674,4;3984,1;4113,8;3957,6;4224,5;4587,7;4404,7;4815,8;4448,7;4293,3;3660,4;3768,6;3418,8;3078,8;2959,6;2822,3;2808,4;2919,3;3164,4;3160,4;3726,8;4106,1;4503,0;4902,8;4668,0;5056,3;6676,0
Estonia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;66,9;90,1;114,7;113,6;110,5;147,5;156,2;194,2;229,0;267,2;319,1;368,8;389,0;372,6;408,4;553,1;541,5;469,1;449,2;477,9;558,4;576,8;617,4;671,9;722,3;743,4;781,7;834,8;928,4;891,3;917,5;1235,9;1392,7
Hungary;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2838,6;2767,0;3034,3;3267,0;3066,1;3192,0;3616,3;3595,0;3587,2;3703,0;3659,9;3739,8;3545,6;5529,6;3586,3;3638,2;4205,8;3332,4;2883,2;2165,5;2092,0;1801,9;1784,2;1343,8;1263,8;1554,4;1388,9;1587,4;1751,8;1924,1;2101,2;2267,9;2099,9;2078,7;1862,7;1897,2;1763,2;1571,6;1409,9;1429,3;1360,6;1286,6;1267,3;1425,5;1628,4;2055,8;1861,2;2626,6;3403,6;2776,0;4020,7;4355,5;4718,4
Latvia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;114,3;133,6;129,4;100,6;97,5;105,0;136,5;170,5;214,0;349,8;403,6;435,7;507,0;637,3;694,8;680,7;432,3;327,3;338,7;311,4;334,3;346,7;395,8;570,5;647,8;883,1;883,2;928,3;961,0;958,1;1253,8;1404,8
Lithuania;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;216,7;116,9;121,7;135,5;222,7;387,3;296,2;386,9;453,6;452,2;442,3;510,3;556,3;615,7;671,2;692,2;522,2;435,9;420,9;421,5;436,2;524,4;698,7;936,4;1137,2;1369,3;1460,6;1521,6;1559,3;1944,0;2162,9;2602,1
North Macedonia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;181,8;143,1;147,1;130,5;149,5;475,4;206,4;188,3;200,9;187,1;178,1;206,0;189,0;184,4;156,9;146,3;138,3;138,1;136,0;131,4;136,8;129,5;143,7;183,8;187,8;232,3;247,4;266,6;341,8
Montenegro;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;94,1;92,9;84,0;95,7;87,9;89,7;87,3;77,4;70,1;73,6;73,1;79,7;81,7;86,8;89,5;98,8;102,2;109,6;114,3;143,9
Poland;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5936,6;6336,9;6377,7;6795,5;6866,3;7314,1;7608,3;8094,4;7760,4;7796,6;7362,5;7442,5;8205,9;7299,4;8244,8;8888,6;9224,3;8965,6;9269,6;7531,6;7823,6;5508,8;5337,5;5849,5;5839,8;5876,3;6183,8;6776,4;7037,5;6928,9;6734,8;6945,5;7064,8;7351,1;7699,9;8224,8;8743,4;9876,8;8983,6;9475,8;9928,2;10067,0;10155,0;10072,7;11206,4;13336,3;12597,6;12882,2;14591,4;14837,1;16980,1;17836,4;18057,2;26342,8;34488,3
Romania;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5030,6;5078,7;4574,4;4703,9;4796,4;10831,9;11491,5;9412,5;10254,7;10920,6;4809,9;4988,9;3902,6;2355,9;2809,4;2739,3;2662,1;2984,9;2711,0;2446,6;2328,8;2442,4;2429,2;2505,7;2694,5;2849,5;2937,5;2817,0;3104,6;2639,8;2431,3;2515,0;2446,6;2633,0;2877,3;3319,3;3502,1;4751,9;5285,0;5785,2;6188,2;6053,3;5871,9;5628,0;8065,8
Slovakia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1258,6;1299,1;2300,7;2286,5;1839,3;1438,5;1256,8;1306,4;1471,5;1493,8;1584,4;1471,8;1595,0;1617,9;1636,5;1677,2;1602,7;1402,9;1203,9;1204,4;1090,6;1125,8;1335,3;1369,4;1393,4;1596,2;2279,8;2494,9;2351,3;2368,0;2441,6;2768,7
Slovenia;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;555,4;476,5;462,9;527,9;541,1;519,2;518,4;487,7;443,8;545,0;604,4;629,5;667,7;680,6;779,7;784,4;830,6;836,6;833,1;672,2;578,8;513,1;491,7;487,5;548,2;561,9;586,7;658,5;641,2;814,9;855,5;912,9;931,9
Ukraine;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;396,9;1746,8;1877,0;1809,1;2242,2;1812,3;1669,5;2070,2;1748,6;1859,5;2148,5;2319,1;2808,5;3150,7;3829,6;3746,5;3431,9;3452,3;3172,2;3551,8;3776,0;4525,2;4944,9;4964,7;4793,5;5782,8;6700,6;7436,0;6882,8;41205,2;64908,0;66784,4
Austria;...;...;...;...;...;...;...;...;1432,2;1629,9;1612,6;1511,9;1451,7;1528,2;1873,7;2357,2;1950,3;2240,3;2270,3;2275,1;2341,9;2317,5;2231,0;2312,8;2402,6;2690,5;2991,0;3052,9;3150,3;3413,7;3625,9;3624,1;3512,1;3663,4;3720,4;3754,8;4107,7;4241,1;4077,8;3855,1;3815,0;3857,7;3875,3;3762,6;3798,8;3815,5;3782,0;3746,5;3755,0;3765,2;3842,2;3934,9;3666,4;3602,0;3751,2;3757,8;3677,1;3531,9;4200,2;4070,4;3800,9;3779,0;3693,1;3644,4;3502,9;3531,5;3376,8;3634,1;3815,8;3839,0;3925,8;4377,3;4486,6;4001,0;4452,2;5096,6
Belgium;2354,7;2375,3;3515,2;5194,8;5171,7;5335,2;4418,9;4296,6;4480,1;4412,6;4448,2;4547,2;4597,0;4892,5;5043,2;5412,3;5239,5;5658,9;5933,4;6142,8;6183,9;6591,6;6869,4;7240,4;7571,0;7677,1;8359,4;8797,0;9023,8;9626,3;9838,1;10028,7;10117,6;9782,2;9394,6;8995,3;8890,4;9257,3;9316,0;8926,0;8787,7;8621,5;8499,6;6979,1;6627,4;6591,1;6456,5;6333,7;6254,1;6252,3;6333,8;6333,4;6054,9;5871,2;5935,0;5811,3;5599,7;5556,2;5995,4;6536,2;6156,3;5896,3;5689,4;5626,0;5482,5;5393,6;5193,5;5172,3;5175,6;5288,6;5407,0;5887,6;6500,1;7364,1;7629,4;8196,9
Cyprus;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;89,1;118,1;436,8;500,6;513,8;764,7;750,6;1027,4;461,6;485,3;435,3;653,3;828,3;739,4;457,3;488,1;576,3;394,0;381,3;396,2;430,5;423,5;401,5;402,8;439,7;456,3;422,7;386,0;348,2;328,4;367,7;337,0;399,8;472,2;511,1;526,8;555,5;566,4;558,9;584,7
Denmark;1164,5;1094,0;1309,7;1795,4;2339,7;2329,2;2296,1;2203,1;2318,3;2246,9;2204,3;2457,3;2518,3;3082,7;3092,6;3205,2;3401,4;3347,5;3344,9;3569,7;3514,6;3708,4;3771,9;3751,2;3567,8;3923,3;4295,8;4205,3;4226,2;4390,7;4418,1;4458,2;4505,9;4636,5;4673,3;4560,0;4457,2;4293,7;4536,1;4626,9;4512,6;4516,1;4597,8;4513,1;4525,3;4412,0;4365,1;4378,9;4435,1;4484,0;4456,7;4311,1;4578,1;4523,3;4391,0;4416,2;4207,7;4599,3;4436,4;4606,7;4331,7;4611,8;4298,6;4432,9;4066,0;3887,3;3846,7;4101,1;4183,8;4786,2;4938,6;5252,0;5349,9;5801,2;8132,6;9781,6
Finland;...;...;...;...;...;...;...;...;...;694,3;816,2;858,2;991,7;1391,4;1104,9;1089,4;1111,2;1093,0;1069,9;1220,5;1116,4;1184,3;1287,3;1480,3;1541,6;1454,9;1688,6;1493,3;1531,0;1592,6;1777,5;2073,3;1938,9;2111,8;2412,5;2218,7;2384,4;2544,0;2533,3;2673,6;2666,2;2713,8;2833,7;2885,4;2804,4;2758,2;2481,7;2747,6;2955,1;3019,6;2630,7;2781,3;2650,3;2702,6;3431,4;3638,8;3743,5;3811,1;3590,6;3870,8;4063,4;3973,5;4037,1;4086,6;4112,3;3901,1;3988,6;4004,3;3935,7;4050,1;4092,2;4265,1;3984,2;4852,8;5928,0;6893,9
France;14723,2;15919,2;21321,8;27085,2;30166,8;25714,6;23963,1;30627,8;32785,5;30199,6;30882,5;31699,4;32944,1;34047,0;33417,3;34399,6;34897,0;35948,4;37814,0;37858,8;36212,5;36414,6;36913,2;37878,7;39261,0;39115,6;40870,3;42638,0;44963,7;47512,2;48618,4;49583,9;50817,6;51788,8;52749,5;52436,3;52374,7;53913,2;55492,2;55463,9;56143,8;55895,4;56259,4;54489,4;53885,7;54163,0;51481,7;50257,1;50438,7;49098,0;49511,1;48951,0;48800,1;49802,8;51305,1;52705,7;51625,4;51863,3;51843,7;51467,0;55274,8;52654,6;51088,7;50304,0;49978,1;50847,8;52238,8;52354,4;53226,3;53529,6;54872,8;56796,3;59214,5;58904,3;59492,0;63135,0
Germany;...;...;...;...;19110,2;19348,1;22356,2;21291,5;25912,4;19411,0;31099,5;33484,7;35603,1;45265,9;50817,2;48728,0;48075,8;47187,5;49087,1;43567,3;47786,6;48330,5;51779,2;55388,6;57514,0;60064,8;59792,6;59360,8;59106,2;61619,3;62479,5;63317,8;64061,8;63235,1;63784,1;63142,5;63277,4;64956,0;66118,6;65588,9;65409,5;68933,1;63793,7;60671,4;54542,4;50866,5;50029,4;49051,3;47240,7;47403,8;48362,1;47599,2;46816,8;46944,2;46302,6;44884,1;44186,0;43399,7;43466,0;44493,7;46178,8;46291,1;45352,7;46648,6;44924,1;44977,4;45749,6;47735,0;49104,1;50459,2;55350,7;58975,7;58457,7;61110,1;67285,2;86301,3
Greece;858,5;962,4;1134,2;1095,4;1047,3;1127,7;1147,1;1481,4;1543,4;1519,9;1573,6;1671,6;1617,0;1644,3;1685,9;1752,3;1895,4;2057,3;2649,0;3093,6;3501,8;3777,9;3993,3;4257,2;4280,9;5316,6;6839,3;7484,6;7934,7;8104,8;7851,2;6790,5;8037,7;8201,4;7481,3;7343,5;7288,3;6227,8;6214,1;6570,9;6161,0;6228,9;5907,7;6139,4;5992,5;6095,7;6226,1;6599,1;7032,2;7663,0;8022,7;8467,5;8281,0;8123,2;6959,3;7651,3;8273,7;8602,4;8595,6;9555,5;10018,6;7698,9;6198,6;5482,4;5119,5;5077,7;5384,8;5609,3;5604,8;5990,9;5890,7;6283,6;8601,9;9294,5;7014,9;7785,6
Iceland;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ireland;...;...;...;...;...;...;...;...;...;278,6;291,9;310,5;322,8;327,6;331,2;370,4;382,5;363,8;370,4;380,9;397,5;449,9;507,0;602,2;644,5;653,2;792,6;818,9;834,1;892,7;985,4;1037,3;992,8;1005,4;942,6;911,9;940,1;965,6;902,5;897,6;887,2;1007,0;1055,0;1043,8;1051,9;1075,7;1084,5;1142,4;1210,0;1220,3;1262,4;1295,3;1405,8;1349,9;1294,0;1314,1;1330,7;1319,6;1329,3;1377,1;1359,2;1295,1;1227,8;1162,8;1156,5;1152,2;1156,1;1164,4;1170,4;1196,0;1255,5;1272,4;1327,5;1271,3;1269,2;1307,2
Italy;6269,6;7401,4;8384,6;9384,2;8524,8;9350,2;9211,1;9482,4;9782,9;10072,6;10385,5;10906,0;11201,1;12388,7;13787,6;14119,6;14654,3;15725,8;15447,7;15634,6;15431,2;16288,2;18305,2;20316,8;20283,7;20261,5;18865,9;18808,0;20125,6;20996,1;22342,8;21772,8;22897,1;25546,2;26104,6;26875,2;26606,9;28410,2;30912,2;32837,8;33096,9;31833,7;32282,5;31354,7;31521,9;30742,6;28077,3;30937,8;32439,9;33513,1;34824,0;37146,8;36536,7;37535,4;37840,6;37964,6;36525,1;35341,8;34333,4;35754,8;34582,9;33595,4;32899,8;30411,3;29246,7;26999,2;25853,0;29287,2;30128,8;30429,8;29597,9;36337,3;37829,3;37638,8;36933,2;37444,0
Luxembourg;25,6;37,3;53,6;87,0;97,6;111,9;121,7;77,9;82,7;80,3;75,0;48,8;53,6;65,0;62,0;79,9;79,4;80,1;65,0;57,6;58,8;59,8;60,7;67,4;73,9;79,8;84,8;91,0;89,1;97,0;99,8;115,9;120,0;121,1;123,9;124,5;121,2;127,5;146,0;166,5;152,5;158,7;175,3;182,9;166,7;183,9;179,5;185,3;200,2;214,8;217,9;222,4;279,0;248,9;263,3;276,6;279,9;274,0;284,2;212,5;210,3;265,1;229,0;223,0;231,0;247,9;292,1;275,8;366,5;377,3;420,1;455,8;406,4;543,4;662,5;849,4
Malta;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;35,8;37,5;46,0;42,2;42,0;36,9;37,6;44,8;47,6;51,1;51,1;54,7;53,1;48,7;47,2;45,8;48,9;48,3;49,9;52,6;66,4;53,9;54,0;55,4;60,3;61,9;54,5;51,5;53,1;55,6;60,3;69,2;72,5;70,9;88,3;92,6;89,6;85,3;112,6;106,3
Netherlands;4110,5;4996,7;5251,5;6207,8;6588,9;7540,6;7940,8;8504,9;7977,0;7007,6;6300,6;7070,0;8130,5;8631,5;8815,7;9614,5;9268,5;9002,4;9977,1;9862,0;10309,1;10556,1;11039,7;11387,1;11564,6;12095,2;12714,2;12549,8;13986,8;13516,7;14333,2;13945,4;14087,8;15189,0;13924,3;14158,5;14000,6;14200,6;14457,6;14401,6;14537,8;14128,7;13735,0;13657,0;12549,7;12102,4;11758,8;11834,3;11718,2;11679,0;12252,6;11764,2;12074,1;12060,9;12235,2;12324,0;12345,7;12928,7;13102,9;12876,5;13154,4;12600,5;12177,1;11442,4;10657,8;10672,6;10646,8;11192,5;11437,1;12401,9;13754,5;14546,0;15022,0;14540,7;16624,8;22439,2
Norway;938,2;823,7;1139,3;1519,9;1912,7;1958,3;1620,9;1583,6;1672,1;1556,3;1646,8;1567,7;1705,2;1883,7;1962,1;1989,7;2305,9;2292,1;2363,9;2505,7;2644,7;2652,0;2718,9;2718,0;2737,4;2811,0;3048,7;3121,4;3185,1;3401,6;3487,7;3521,0;3559,3;3698,2;3859,3;3717,1;4282,5;4147,2;4413,4;4206,3;4318,0;4352,9;4221,2;4574,5;4262,9;4482,3;4047,9;4103,4;4035,2;4302,6;4324,1;4180,5;4208,0;5056,8;4861,7;4985,0;4690,1;4681,1;4980,1;5008,0;5313,3;5230,3;5328,9;5426,0;5552,0;5792,6;5750,4;5968,1;6586,8;6939,5;7342,4;7438,9;7656,3;8348,2;8797,8;10285,5
Portugal;633,5;681,6;708,0;773,3;895,0;940,9;1006,5;999,2;1026,3;1049,4;1178,0;1225,5;1964,7;2233,4;2181,5;2378,0;2379,4;2507,1;3077,0;3239,3;3040,6;3383,4;3689,9;3697,3;3494,5;4096,8;2696,4;2159,6;1989,4;2009,5;2042,3;2213,9;2204,0;2207,4;2122,4;1975,2;1998,4;2247,4;2338,8;2597,1;2725,9;2802,4;2888,6;2966,2;2871,5;2793,4;3000,0;2894,1;2952,1;2891,0;3041,1;3131,7;3258,4;3347,3;3252,0;3478,7;3748,4;3616,7;3395,3;3471,1;3714,3;3638,4;3449,8;3023,2;3130,9;2891,7;3031,6;3632,6;3022,4;3395,2;3626,1;3528,1;3989,6;3821,5;4236,2;4522,6
Spain;3074,3;2882,1;2727,5;3456,9;3389,6;3406,4;3685,4;3910,8;4092,3;3590,5;3421,3;4106,7;4138,5;5054,4;4761,7;5441,1;5458,6;6561,6;6167,6;8170,8;9639,4;9719,1;9341,5;11131,9;10971,1;12145,0;11072,1;13117,6;13325,8;13874,0;14859,5;15407,7;15649,5;16206,7;18157,1;18599,6;18920,3;17688,1;18719,1;18925,3;18823,9;19094,3;18350,9;17901,7;17443,4;17623,4;17763,3;17202,5;17034,4;17877,1;19645,6;20303,5;20078,2;18611,2;18888,7;19743,8;19989,7;20644,3;21411,1;21293,4;20441,3;20573,9;18979,5;19194,7;16745,8;16721,2;17773,8;16481,0;18239,6;18944,6;19128,3;19114,5;20036,9;21595,6;23821,2;23926,4
Sweden;...;...;...;...;...;...;...;...;...;...;...;3707,4;3890,1;4183,3;4460,8;4689,8;4971,7;5017,9;4891,0;4896,8;5154,9;5294,7;5412,1;5583,0;5600,7;5645,0;5787,4;5784,5;5827,3;5998,3;6222,6;6078,3;5974,6;5829,6;5762,8;5842,2;5928,6;6027,0;6017,3;6113,1;6340,1;6384,1;5931,3;5834,4;5765,9;5670,7;4937,7;4268,3;5707,1;5900,5;6158,9;6347,1;6282,3;5893,2;5850,3;5505,7;5577,3;5490,5;5634,4;5011,4;4914,7;5318,8;5001,1;5105,6;5135,3;5440,7;5499,1;5571,7;5571,5;5755,4;6264,0;6519,0;7185,6;7963,0;8754,9;11718,5
Switzerland;...;...;...;...;...;...;...;...;4356,5;4642,1;4501,2;4215,7;4910,4;5428,4;5655,6;6128,7;6177,2;6492,3;6324,3;6024,3;6431,6;6616,6;6882,4;7011,2;6794,8;6768,1;6384,1;7232,9;6857,3;6868,6;7182,0;7143,5;7131,1;7428,7;7527,9;7606,8;8367,4;7931,2;7629,9;7971,0;8126,3;8618,5;8320,5;8079,2;7173,9;7108,8;7192,8;6806,2;6560,4;6545,0;6058,2;5967,7;5828,0;5578,5;5433,3;5332,5;5249,0;4996,4;5027,9;5150,1;5144,6;4969,4;5102,3;5008,8;5438,2;4927,1;5131,5;5337,5;5369,3;5407,4;5805,9;6305,3;5839,8;6111,8;6289,2;6483,7
United Kingdom;...;35704,9;42039,7;53778,0;59747,7;56723,2;54008,7;53009,5;51188,5;49846,4;49594,4;50619,9;50570,9;51220,1;52094,8;53505,9;53666,1;53379,6;54743,9;53964,1;50996,5;52528,5;52410,9;55748,9;55933,9;55949,2;58780,4;57918,9;55391,2;57151,9;58938,5;62847,7;61562,2;67118,1;70103,1;73579,8;74271,2;73353,9;72554,0;69983,8;70599,9;70700,5;71517,2;66799,1;63747,9;61994,0;58146,5;57590,6;55545,4;55727,0;55430,0;56546,0;58785,5;62280,3;66714,6;67542,5;68174,0;68486,7;70351,3;73431,3;74607,8;73353,8;70873,9;68905,8;66386,7;65199,7;62693,3;62474,8;62588,9;63060,0;65679,5;66722,8;67749,8;68878,3;75303,4;77390,0
Türkiye;...;...;...;...;1014,2;1025,7;1037,3;960,4;892,3;866,7;1031,4;1137,3;1278,7;1361,9;1399,4;1500,8;1572,4;1575,7;1697,7;1898,0;1840,1;2041,1;2338,9;2458,3;2606,4;2922,2;5110,3;5369,1;5169,7;4733,9;4200,3;4353,4;4911,7;5369,5;5080,5;4938,8;5239,6;5887,1;5622,4;4952,2;5730,0;6923,8;7117,5;7486,5;8277,2;8092,6;8313,6;9304,4;9697,1;10161,0;11219,2;10857,7;9953,5;10590,5;9848,8;9152,5;8821,3;9234,0;8903,6;9031,8;9664,1;9493,1;9574,5;9809,5;10074,2;10147,7;10442,0;12242,6;13140,2;16678,6;17729,8;15070,4;15333,9;16429,0;19577,8;21884,4
